"Date","測站","測項","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","WeekDay","Month","meansValue"
2018-02-15,"陽明","PM2.5",15,15,17,24,22,15,21,19,13,10,9,4,6,14,11,15,14,14,10,9,7,6,7,6,"Thursday","February",12.62
2018-02-16,"陽明","PM2.5",7,7,9,10,15,13,14,17,16,10,14,15,15,12,7,6,6,6,6,10,11,7,1,1,"Friday","February",9.79
2018-02-17,"陽明","PM2.5",1,2,3,2,2,2,2,3,3,1,1,1,1,1,2,2,3,5,9,12,11,10,12,11,"Saturday","February",4.25
2018-02-18,"陽明","PM2.5",10,9,9,7,6,6,7,10,9,12,14,12,19,17,23,17,20,16,11,15,17,12,10,12,"Sunday","February",12.5
2018-02-19,"陽明","PM2.5",12,11,13,13,12,12,14,14,15,14,14,10,13,14,15,14,21,20,20,25,17,17,17,12,"Monday","February",14.96
2018-02-20,"陽明","PM2.5",7,9,9,11,14,11,11,14,9,12,15,19,15,14,15,10,10,10,13,12,11,11,6,9,"Tuesday","February",11.54
2018-02-21,"陽明","PM2.5",3,5,5,-4,1,2,2,3,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,"Wednesday","February",1.54
2018-02-22,"陽明","PM2.5",1,1,1,1,2,1,1,1,3,1,-3,1,1,1,2,1,2,1,3,1,1,2,1,1,"Thursday","February",1.17
2018-02-23,"陽明","PM2.5",4,5,4,6,2,3,2,3,2,2,2,1,9,12,14,14,17,14,10,5,5,7,15,11,"Friday","February",7.04
2018-02-24,"陽明","PM2.5",7,7,5,3,5,4,5,7,7,10,17,16,10,4,13,15,15,9,5,6,6,6,6,5,"Saturday","February",8.04
2018-02-25,"陽明","PM2.5",6,6,6,7,5,9,9,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,"Sunday","February",3
2018-02-26,"陽明","PM2.5",2,2,1,1,4,6,7,6,11,11,11,14,10,11,11,10,12,12,13,15,14,13,14,12,"Monday","February",9.29
2018-02-27,"陽明","PM2.5",11,10,7,10,7,10,9,7,9,7,6,9,20,19,13,23,24,21,21,10,6,7,6,7,"Tuesday","February",11.62
2018-02-28,"陽明","PM2.5",7,5,3,6,5,6,7,10,11,15,14,14,13,1,1,3,4,5,2,6,1,5,3,4,"Wednesday","February",6.29
2018-03-01,"陽明","PM2.5",1,5,6,9,7,7,13,9,15,17,16,15,14,14,12,13,12,5,5,5,5,5,4,2,"Thursday","March",9
2018-03-02,"陽明","PM2.5",1,1,1,1,3,3,2,4,2,3,6,12,12,19,14,16,22,17,23,30,19,14,11,12,"Friday","March",10.33
2018-03-03,"陽明","PM2.5",15,11,10,9,10,14,23,32,22,19,20,12,14,12,19,24,33,23,13,4,9,10,16,21,"Saturday","March",16.46
2018-03-04,"陽明","PM2.5",24,23,17,14,15,16,19,14,15,14,23,22,28,30,26,6,25,24,17,10,13,24,22,17,"Sunday","March",19.08
2018-03-05,"陽明","PM2.5",21,22,19,23,25,6,9,14,6,10,16,2,1,1,3,3,6,-6,-6,1,1,1,1,1,"Monday","March",7.5
2018-03-06,"陽明","PM2.5",1,1,1,1,2,2,1,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,"Tuesday","March",1.29
2018-03-07,"陽明","PM2.5",1,1,1,1,1,1,1,3,7,14,5,10,11,11,10,13,10,-7,1,2,1,1,2,4,"Wednesday","March",4.38
2018-03-08,"陽明","PM2.5",1,1,-4,1,1,1,1,1,2,1,1,1,1,2,5,4,5,2,2,4,12,13,15,20,"Thursday","March",3.88
2018-03-09,"陽明","PM2.5",20,25,28,28,30,33,41,41,35,37,31,21,23,25,23,24,23,21,19,15,12,9,11,7,"Friday","March",24.25
2018-03-10,"陽明","PM2.5",10,5,7,9,5,7,7,9,7,9,7,4,7,6,4,6,7,5,6,7,7,6,9,6,"Saturday","March",6.75
2018-03-11,"陽明","PM2.5",5,3,4,5,6,5,5,6,6,6,7,4,6,5,6,7,5,6,9,6,6,6,6,7,"Sunday","March",5.71
2018-03-12,"陽明","PM2.5",5,4,6,6,6,7,9,7,7,6,5,5,19,12,13,16,16,13,10,9,5,5,6,5,"Monday","March",8.42
2018-03-13,"陽明","PM2.5",6,5,3,7,20,20,20,20,12,9,15,11,25,29,25,17,19,20,14,12,7,5,6,6,"Tuesday","March",13.88
2018-03-14,"陽明","PM2.5",6,7,11,20,22,24,31,30,25,23,28,30,14,12,28,33,28,12,12,11,6,13,11,13,"Wednesday","March",18.75
2018-03-15,"陽明","PM2.5",9,5,5,5,7,6,9,10,10,9,9,17,9,22,21,1,6,10,7,3,4,4,12,14,"Thursday","March",8.92
2018-03-16,"陽明","PM2.5",4,1,1,2,11,9,10,7,10,11,6,12,10,4,1,1,1,1,3,2,1,1,1,1,"Friday","March",4.62
2018-03-17,"陽明","PM2.5",1,1,1,1,2,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,"Saturday","March",1.5
2018-03-19,"陽明","PM2.5",20,16,15,16,15,12,16,13,10,20,17,32,22,25,25,32,33,25,23,24,22,13,7,13,"Monday","March",19.42
2018-03-20,"陽明","PM2.5",14,11,13,6,1,4,3,14,20,1,1,-6,4,2,-7,-5,1,1,1,1,1,1,1,1,"Tuesday","March",3.5
2018-03-21,"陽明","PM2.5",1,1,1,1,1,2,4,5,2,3,2,1,6,7,6,9,6,6,6,7,9,6,6,6,"Wednesday","March",4.33
2018-03-22,"陽明","PM2.5",7,6,6,3,9,7,12,13,12,13,12,13,11,13,13,14,14,14,7,2,1,7,4,19,"Thursday","March",9.67
2018-03-23,"陽明","PM2.5",24,22,19,20,21,20,22,25,29,23,-3,-3,35,26,26,23,22,21,20,20,19,19,19,20,"Friday","March",20.38
2018-03-24,"陽明","PM2.5",21,22,22,23,24,24,24,25,24,24,24,25,26,26,26,28,28,25,26,25,26,25,25,24,"Saturday","March",24.67
2018-03-25,"陽明","PM2.5",26,25,24,23,24,21,20,20,17,19,15,13,13,11,12,13,14,13,13,14,11,9,9,9,"Sunday","March",16.17
2018-03-26,"陽明","PM2.5",6,9,9,7,10,11,12,13,22,26,29,40,43,26,17,16,14,21,23,16,21,24,24,21,"Monday","March",19.17
2018-03-27,"陽明","PM2.5",20,20,22,20,17,21,23,24,21,16,14,12,2,1,2,13,13,13,13,14,15,13,13,11,"Tuesday","March",14.71
2018-03-28,"陽明","PM2.5",10,6,7,5,7,10,10,12,13,13,15,15,13,12,13,12,11,11,13,7,10,7,6,5,"Wednesday","March",10.12
2018-03-29,"陽明","PM2.5",5,5,5,5,6,6,9,10,11,10,9,6,-3,1,10,6,5,5,9,9,6,5,5,4,"Thursday","March",6.21
2018-03-30,"陽明","PM2.5",4,5,4,5,6,6,10,11,9,7,4,6,7,7,6,9,9,7,5,7,5,7,9,9,"Friday","March",6.83
2018-03-31,"陽明","PM2.5",12,11,7,12,9,12,6,5,11,11,13,12,13,17,20,21,23,17,17,19,20,19,14,15,"Saturday","March",14
2018-04-01,"陽明","PM2.5",16,21,22,22,23,21,22,22,23,22,20,23,20,24,21,25,23,23,20,21,23,25,25,25,"Sunday","April",22.17
2018-04-02,"陽明","PM2.5",24,23,22,24,26,26,30,41,48,41,39,44,45,44,42,41,41,37,28,24,19,21,22,22,"Monday","April",32.25
2018-04-03,"陽明","PM2.5",19,17,13,21,23,21,16,23,25,26,29,30,39,42,47,40,26,20,17,24,24,17,15,14,"Tuesday","April",24.5
2018-04-04,"陽明","PM2.5",13,11,13,13,15,16,17,20,20,16,23,-3,25,25,28,30,29,29,26,24,24,28,29,31,"Wednesday","April",20.92
2018-04-05,"陽明","PM2.5",24,23,17,12,13,12,15,15,15,15,20,25,32,22,24,23,23,23,23,23,21,21,21,20,"Thursday","April",20.08
2018-04-06,"陽明","PM2.5",24,17,14,22,28,28,17,16,14,6,-5,1,1,1,1,1,1,3,29,39,39,37,33,32,"Friday","April",16.62
2018-04-07,"陽明","PM2.5",37,34,31,34,35,37,39,38,42,42,37,37,32,26,28,24,23,22,20,22,24,21,24,21,"Saturday","April",30.42
2018-04-08,"陽明","PM2.5",15,15,23,17,21,22,21,20,17,17,16,16,16,15,12,14,14,13,13,14,15,16,15,15,"Sunday","April",16.33
2018-04-09,"陽明","PM2.5",15,16,12,9,12,10,12,21,24,17,14,19,16,12,12,12,15,14,15,13,13,11,11,7,"Monday","April",13.83
2018-04-10,"陽明","PM2.5",9,10,13,23,25,22,13,23,20,14,20,25,47,42,24,19,35,30,26,33,29,21,15,9,"Tuesday","April",22.79
