"Date","測站","測項","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","WeekDay","Month","meansValue"
2018-02-11,"古亭","PM2.5",10,11,9,11,7,10,7,9,8,9,10,13,18,20,23,27,28,30,28,22,22,17,24,17,"Sunday","February",16.25
2018-02-12,"古亭","PM2.5",16,9,12,15,17,14,14,13,19,23,23,19,14,19,1,18,24,24,26,27,24,23,17,18,"Monday","February",17.88
2018-02-13,"古亭","PM2.5",14,17,12,14,10,11,16,17,19,19,17,14,12,9,15,12,19,11,14,10,15,15,12,17,"Tuesday","February",14.21
2018-02-14,"古亭","PM2.5",13,21,10,10,1,8,9,11,7,9,7,14,14,20,16,21,19,24,20,28,19,23,12,19,"Wednesday","February",14.79
2018-02-15,"古亭","PM2.5",14,13,12,9,11,9,9,11,15,21,19,18,19,16,18,23,31,32,29,30,35,31,35,32,"Thursday","February",20.5
2018-02-16,"古亭","PM2.5",39,31,29,19,21,19,22,17,21,28,35,37,40,34,33,29,34,30,32,31,35,35,38,25,"Friday","February",29.75
2018-02-17,"古亭","PM2.5",14,10,13,14,10,13,18,20,18,15,14,19,22,19,14,4,12,8,8,4,8,16,13,11,"Saturday","February",13.21
2018-02-18,"古亭","PM2.5",7,7,8,9,6,9,10,12,16,16,17,20,19,20,17,20,25,28,29,28,29,31,28,22,"Sunday","February",18.04
2018-02-19,"古亭","PM2.5",14,12,7,8,4,10,8,10,6,5,8,16,23,24,25,28,32,28,19,19,17,20,19,29,"Monday","February",16.29
2018-02-20,"古亭","PM2.5",38,38,33,33,37,34,30,20,13,8,10,15,13,16,10,7,5,8,11,13,14,18,15,21,"Tuesday","February",19.17
2018-02-21,"古亭","PM2.5",18,19,11,12,9,10,4,7,5,11,14,12,6,1,1,1,1,3,9,9,15,11,15,10,"Wednesday","February",8.92
2018-02-22,"古亭","PM2.5",7,10,8,10,3,5,3,8,12,14,10,8,9,9,9,12,10,11,7,7,11,10,16,10,"Thursday","February",9.12
2018-02-23,"古亭","PM2.5",15,16,12,11,10,19,19,21,19,17,19,14,19,567,16,22,20,21,23,24,28,23,24,19,"Friday","February",41.58
2018-02-24,"古亭","PM2.5",22,18,17,15,17,14,16,19,28,32,29,21,22,26,31,37,40,46,37,37,37,43,41,33,"Saturday","February",28.25
2018-02-25,"古亭","PM2.5",32,31,30,34,35,38,28,32,30,29,17,13,12,15,12,10,9,7,8,9,19,16,14,10,"Sunday","February",20.42
2018-02-26,"古亭","PM2.5",10,10,2,6,10,15,12,13,13,20,18,22,20,18,10,14,14,14,11,13,15,10,12,15,"Monday","February",13.21
2018-02-27,"古亭","PM2.5",16,15,8,12,8,12,8,10,13,12,12,7,10,19,31,33,34,31,37,37,45,44,44,37,"Tuesday","February",22.29
2018-02-28,"古亭","PM2.5",34,28,28,31,28,22,13,16,10,17,17,23,25,32,30,20,17,21,23,19,16,17,15,10,"Wednesday","February",21.33
2018-03-01,"古亭","PM2.5",6,8,6,7,6,7,10,10,10,9,15,23,23,13,8,6,11,12,8,5,5,9,6,4,"Thursday","March",9.46
2018-03-02,"古亭","PM2.5",1,1,1,6,6,6,1,4,4,15,20,28,28,38,44,38,34,36,46,52,59,60,56,57,"Friday","March",26.71
2018-03-03,"古亭","PM2.5",64,64,63,62,60,57,50,55,56,67,67,71,63,57,53,49,45,37,36,38,31,30,30,40,"Saturday","March",51.88
2018-03-04,"古亭","PM2.5",34,28,14,16,19,19,15,19,28,32,35,38,44,45,51,49,51,41,35,37,38,46,43,37,"Sunday","March",33.92
2018-03-05,"古亭","PM2.5",41,34,34,25,24,20,17,19,23,29,34,33,25,553,15,14,19,21,19,9,5,3,5,6,"Monday","March",42.79
2018-03-06,"古亭","PM2.5",7,10,12,14,10,13,11,17,10,12,8,6,9,6,6,4,8,10,8,10,10,10,7,9,"Tuesday","March",9.46
2018-03-07,"古亭","PM2.5",13,10,11,8,9,5,3,4,6,9,10,7,4,5,9,11,10,11,11,10,10,8,9,4,"Wednesday","March",8.21
2018-03-08,"古亭","PM2.5",5,4,7,6,6,2,5,6,9,4,6,5,6,6,3,7,6,9,10,10,13,12,13,13,"Thursday","March",7.21
2018-03-09,"古亭","PM2.5",13,16,17,19,19,20,20,24,30,41,46,45,40,30,26,20,23,27,26,26,19,20,16,18,"Friday","March",25.04
2018-03-10,"古亭","PM2.5",15,11,10,8,10,10,10,10,9,9,7,3,9,9,10,9,10,11,9,9,11,10,10,9,"Saturday","March",9.5
2018-03-11,"古亭","PM2.5",15,12,11,4,7,9,11,10,6,2,8,10,11,10,9,15,10,16,10,11,10,11,10,11,"Sunday","March",9.96
2018-03-12,"古亭","PM2.5",10,9,7,8,5,4,8,10,8,16,19,20,11,9,11,19,23,30,28,24,13,9,6,5,"Monday","March",13
2018-03-13,"古亭","PM2.5",3,10,17,18,14,10,8,10,10,24,31,34,27,22,26,29,28,28,28,29,26,24,20,15,"Tuesday","March",20.46
2018-03-14,"古亭","PM2.5",10,10,14,10,13,12,15,10,10,14,21,22,22,27,33,35,35,20,10,6,6,7,6,8,"Wednesday","March",15.67
2018-03-15,"古亭","PM2.5",10,7,6,7,10,7,7,6,14,14,20,15,15,22,37,42,36,22,19,18,21,23,25,16,"Thursday","March",17.46
2018-03-16,"古亭","PM2.5",16,12,17,19,13,13,8,10,11,19,22,32,26,28,16,17,12,14,14,12,15,10,16,8,"Friday","March",15.83
2018-03-17,"古亭","PM2.5",11,11,16,14,7,8,8,9,5,5,3,7,10,10,6,5,10,10,12,10,14,11,14,10,"Saturday","March",9.42
2018-03-18,"古亭","PM2.5",15,10,10,6,6,7,7,5,13,16,19,14,14,21,24,23,20,21,22,25,27,30,29,25,"Sunday","March",17.04
2018-03-19,"古亭","PM2.5",17,11,14,19,25,23,15,12,13,25,21,23,19,26,28,28,28,26,31,26,33,31,28,22,"Monday","March",22.67
2018-03-20,"古亭","PM2.5",21,28,29,28,25,20,16,18,17,17,10,7,2,10,8,10,6,6,9,5,8,4,9,6,"Tuesday","March",13.29
2018-03-21,"古亭","PM2.5",9,6,9,12,10,8,8,8,11,5,7,4,12,577,11,10,10,14,13,8,7,8,13,14,"Wednesday","March",33.08
2018-03-22,"古亭","PM2.5",13,15,11,12,3,7,9,16,15,12,10,10,13,13,13,13,17,19,22,19,17,16,15,16,"Thursday","March",13.58
2018-03-23,"古亭","PM2.5",13,10,3,3,10,13,12,10,10,15,14,15,11,10,8,12,14,19,21,20,20,17,19,17,"Friday","March",13.17
2018-03-24,"古亭","PM2.5",19,21,28,28,25,16,19,21,25,23,24,21,21,15,15,15,21,24,27,27,24,28,24,24,"Saturday","March",22.29
2018-03-25,"古亭","PM2.5",22,23,24,19,24,21,19,18,19,19,14,9,14,10,13,5,9,6,10,11,16,12,11,13,"Sunday","March",15.04
2018-03-26,"古亭","PM2.5",10,11,9,12,10,10,11,10,13,18,21,30,32,37,30,23,19,16,20,25,29,26,25,21,"Monday","March",19.5
2018-03-27,"古亭","PM2.5",19,15,13,14,11,14,14,13,16,21,28,26,19,17,19,19,15,18,22,20,19,19,25,21,"Tuesday","March",18.21
2018-03-28,"古亭","PM2.5",20,18,20,19,13,8,5,8,9,8,10,12,12,12,9,15,12,13,10,11,12,14,10,14,"Wednesday","March",12.25
2018-03-29,"古亭","PM2.5",9,10,6,8,8,7,10,12,11,10,8,6,6,6,10,7,7,8,6,10,8,10,7,10,"Thursday","March",8.33
2018-03-30,"古亭","PM2.5",10,10,2,9,7,11,6,11,9,16,10,16,8,11,9,9,11,7,12,11,22,18,14,5,"Friday","March",10.58
2018-03-31,"古亭","PM2.5",10,10,16,12,16,11,14,13,17,16,14,13,12,15,12,13,17,17,24,21,35,31,31,18,"Saturday","March",17
2018-04-01,"古亭","PM2.5",18,18,21,21,17,21,23,25,23,13,26,19,25,14,18,20,20,18,14,15,15,15,13,13,"Sunday","April",18.54
2018-04-02,"古亭","PM2.5",11,14,15,16,18,19,25,20,19,20,23,30,36,40,38,39,39,37,32,25,28,20,19,10,"Monday","April",24.71
2018-04-03,"古亭","PM2.5",12,16,16,18,14,19,16,18,13,17,20,23,34,37,567,46,37,27,18,11,12,10,10,18,"Tuesday","April",42.88
2018-04-04,"古亭","PM2.5",26,25,16,3,11,9,9,5,12,15,17,20,26,28,30,31,28,28,28,28,25,21,19,13,"Wednesday","April",19.71
2018-04-05,"古亭","PM2.5",7,2,5,14,16,14,6,8,10,18,23,27,34,29,36,32,33,22,13,17,23,29,22,22,"Thursday","April",19.25
2018-04-06,"古亭","PM2.5",19,21,18,12,17,17,21,15,22,23,23,10,4,1,3,10,9,8,6,16,24,29,28,25,"Friday","April",15.88
2018-04-07,"古亭","PM2.5",27,23,25,23,26,22,23,22,31,28,28,27,29,30,26,26,23,19,12,9,16,19,17,13,"Saturday","April",22.67
2018-04-08,"古亭","PM2.5",13,20,18,18,11,18,16,16,18,18,16,9,8,9,10,11,15,17,14,17,11,12,12,10,"Sunday","April",14.04
2018-04-09,"古亭","PM2.5",16,10,13,8,6,10,8,12,9,14,16,17,14,13,11,12,12,15,18,14,13,12,17,16,"Monday","April",12.75
2018-04-10,"古亭","PM2.5",13,10,13,16,15,10,5,4,14,19,28,27,31,33,30,33,30,30,20,19,12,11,11,16,"Tuesday","April",18.75
2018-04-11,"古亭","PM2.5",19,12,14,9,9,10,10,15,18,31,38,40,32,34,28,33,27,25,25,26,21,19,21,20,"Wednesday","April",22.33
2018-04-12,"古亭","PM2.5",22,16,19,14,13,13,18,19,19,20,21,17,17,16,18,18,22,23,19,21,19,16,13,10,"Thursday","April",17.62
2018-04-13,"古亭","PM2.5",7,5,7,10,7,7,6,10,11,12,17,17,20,23,31,35,30,27,31,24,23,9,14,10,"Friday","April",16.38
2018-04-14,"古亭","PM2.5",10,8,5,7,7,16,17,13,9,14,19,26,22,26,19,19,11,10,10,12,16,15,10,12,"Saturday","April",13.88
2018-04-15,"古亭","PM2.5",10,10,3,8,8,7,1,5,5,9,3,4,3,6,11,21,25,29,22,27,28,33,33,30,"Sunday","April",14.21
2018-04-16,"古亭","PM2.5",31,29,20,13,9,10,10,8,8,13,11,12,16,18,564,13,5,7,10,12,13,10,5,9,"Monday","April",35.67
2018-04-17,"古亭","PM2.5",14,15,8,2,10,12,19,18,14,10,3,11,13,17,14,14,18,16,14,15,12,13,8,15,"Tuesday","April",12.71
2018-04-18,"古亭","PM2.5",17,19,14,13,12,11,13,14,14,13,15,20,19,13,8,4,10,11,11,14,17,19,17,12,"Wednesday","April",13.75
2018-04-19,"古亭","PM2.5",8,10,13,15,8,10,12,20,19,14,12,12,12,10,9,10,10,13,18,13,12,10,8,6,"Thursday","April",11.83
2018-04-20,"古亭","PM2.5",7,10,8,4,13,19,24,17,17,16,13,12,12,11,11,11,19,19,19,16,19,15,19,12,"Friday","April",14.29
2018-04-21,"古亭","PM2.5",13,13,16,16,13,14,15,13,20,17,25,20,23,29,36,40,45,37,40,27,26,16,13,17,"Saturday","April",22.67
2018-04-22,"古亭","PM2.5",14,11,13,18,17,9,10,16,21,25,23,28,25,27,24,27,24,17,9,6,10,14,15,12,"Sunday","April",17.29
2018-04-23,"古亭","PM2.5",8,5,8,10,10,7,9,8,8,10,16,19,16,16,22,16,15,12,21,19,12,6,7,5,"Monday","April",11.88
2018-04-24,"古亭","PM2.5",1,5,5,6,2,3,4,5,11,11,17,15,12,9,6,5,3,3,10,9,9,10,13,18,"Tuesday","April",8
2018-04-25,"古亭","PM2.5",13,20,13,19,13,19,15,16,10,14,13,16,16,19,22,25,26,28,26,28,28,31,24,25,"Wednesday","April",19.96
2018-04-26,"古亭","PM2.5",23,28,25,22,21,22,23,23,21,15,16,13,17,11,9,7,6,14,17,15,5,6,13,19,"Thursday","April",16.29
2018-04-27,"古亭","PM2.5",21,16,14,12,17,16,15,16,19,24,25,35,30,30,19,16,11,14,16,17,15,16,18,17,"Friday","April",18.71
2018-04-28,"古亭","PM2.5",17,16,18,21,15,17,11,17,12,18,21,19,22,20,22,20,14,17,14,17,14,8,11,10,"Saturday","April",16.29
2018-04-29,"古亭","PM2.5",16,10,11,9,8,7,11,14,18,19,22,28,34,39,39,35,35,37,42,44,55,49,42,24,"Sunday","April",27
2018-04-30,"古亭","PM2.5",19,17,14,9,11,10,14,12,14,18,21,25,33,33,563,34,28,31,33,33,28,22,24,24,"Monday","April",44.58
2018-05-01,"古亭","PM2.5",24,16,16,13,14,12,15,15,15,18,26,27,26,20,24,27,28,27,30,38,40,37,33,31,"Tuesday","May",23.83
2018-05-02,"古亭","PM2.5",30,28,27,19,15,21,24,26,24,28,28,23,27,27,24,20,19,22,20,25,22,23,19,21,"Wednesday","May",23.42
2018-05-03,"古亭","PM2.5",19,23,34,37,37,33,33,28,25,26,28,25,22,22,22,27,28,26,23,20,20,15,16,15,"Thursday","May",25.17
2018-05-04,"古亭","PM2.5",13,8,10,16,16,14,8,11,8,11,14,11,12,8,9,7,4,9,12,13,10,8,9,7,"Friday","May",10.33
2018-05-05,"古亭","PM2.5",5,3,4,3,5,7,10,16,12,19,11,19,16,27,36,39,41,34,28,21,16,12,9,10,"Saturday","May",16.79
2018-05-06,"古亭","PM2.5",14,11,18,13,16,10,10,10,15,21,19,23,19,28,23,29,27,26,17,13,15,19,19,11,"Sunday","May",17.75
2018-05-07,"古亭","PM2.5",9,8,17,14,10,10,10,10,10,16,17,17,15,23,18,15,13,13,19,18,18,16,19,15,"Monday","May",14.58
2018-05-08,"古亭","PM2.5",13,10,9,9,5,5,3,1,4,7,12,7,10,7,3,8,10,12,11,16,11,10,8,13,"Tuesday","May",8.5
2018-05-09,"古亭","PM2.5",12,8,10,10,10,4,13,13,18,7,10,3,3,3,6,12,10,17,11,16,10,18,13,16,"Wednesday","May",10.54
2018-05-10,"古亭","PM2.5",14,12,7,6,6,8,5,6,10,13,20,15,13,4,4,7,10,14,16,10,11,9,10,10,"Thursday","May",10
2018-05-11,"古亭","PM2.5",10,11,5,7,6,10,10,9,10,11,12,11,10,11,9,18,14,15,9,14,14,14,12,9,"Friday","May",10.88
2018-05-12,"古亭","PM2.5",7,3,5,6,7,10,9,12,15,21,27,23,18,19,19,28,27,29,28,27,23,22,21,23,"Saturday","May",17.88
2018-05-13,"古亭","PM2.5",21,17,16,11,13,8,6,5,15,23,36,36,37,30,28,27,24,28,31,24,21,16,24,15,"Sunday","May",21.33
2018-05-14,"古亭","PM2.5",11,4,12,10,19,15,22,18,19,23,30,32,25,561,19,17,22,26,24,24,17,20,22,28,"Monday","May",42.5
