"Date","測站","測項","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","WeekDay","Month","meansValue"
2018-02-11,"松山","PM2.5",11,10,5,6,9,9,4,4,10,15,14,13,19,22,28,30,35,34,26,23,17,20,18,19,"Sunday","February",16.71
2018-02-12,"松山","PM2.5",15,18,19,21,17,18,22,25,22,20,17,16,14,18,22,22,27,27,31,27,32,30,32,22,"Monday","February",22.25
2018-02-13,"松山","PM2.5",19,17,16,13,11,14,20,19,23,23,25,23,19,22,20,30,27,24,16,19,24,22,19,12,"Tuesday","February",19.88
2018-02-14,"松山","PM2.5",6,7,12,20,18,15,10,9,17,17,22,17,13,10,15,32,31,25,14,17,24,29,31,22,"Wednesday","February",18.04
2018-02-15,"松山","PM2.5",19,19,20,13,4,10,15,21,19,17,20,21,21,17,18,22,26,28,29,32,32,35,33,39,"Thursday","February",22.08
2018-02-16,"松山","PM2.5",48,64,64,48,34,32,37,32,39,38,47,48,48,47,37,44,35,34,32,35,37,30,20,15,"Friday","February",39.38
2018-02-17,"松山","PM2.5",16,17,20,20,20,20,20,25,25,25,25,25,25,25,25,25,21,21,12,12,12,12,1,5,"Saturday","February",18.92
2018-02-18,"松山","PM2.5",5,9,9,12,10,12,14,17,18,21,18,19,18,17,17,20,34,36,49,44,48,36,31,26,"Sunday","February",22.5
2018-02-19,"松山","PM2.5",17,17,9,13,9,10,12,13,13,6,14,17,35,28,34,25,38,32,27,30,36,50,46,46,"Monday","February",24.04
2018-02-20,"松山","PM2.5",40,36,36,32,33,30,32,26,17,17,11,11,10,16,13,9,6,8,8,14,20,27,18,20,"Tuesday","February",20.42
2018-02-21,"松山","PM2.5",22,22,19,16,21,15,6,1,1,5,9,9,3,3,1,1,1,8,17,17,16,13,10,11,"Wednesday","February",10.29
2018-02-22,"松山","PM2.5",11,11,6,3,8,16,17,15,14,14,14,8,10,10,8,12,10,12,7,13,8,14,12,17,"Thursday","February",11.25
2018-02-23,"松山","PM2.5",11,18,13,19,12,23,26,29,24,19,747,30,30,31,18,27,31,35,30,20,16,19,29,27,"Friday","February",53.5
2018-02-24,"松山","PM2.5",27,22,26,18,14,14,17,17,24,31,43,37,41,43,48,48,44,40,38,37,37,37,38,37,"Saturday","February",32.42
2018-02-25,"松山","PM2.5",41,42,48,44,39,33,32,39,34,31,26,18,14,3,8,5,11,6,10,5,8,5,4,4,"Sunday","February",21.25
2018-02-26,"松山","PM2.5",5,4,7,4,5,10,9,17,16,19,14,16,18,22,17,16,20,18,16,10,17,16,12,11,"Monday","February",13.29
2018-02-27,"松山","PM2.5",14,15,10,12,13,15,16,16,14,13,13,16,11,20,705,24,39,34,44,34,44,39,41,37,"Tuesday","February",51.62
2018-02-28,"松山","PM2.5",34,42,33,40,30,43,25,29,15,20,18,17,24,34,39,28,16,13,18,23,31,33,30,23,"Wednesday","February",27.42
2018-03-01,"松山","PM2.5",19,18,16,10,8,13,16,18,14,15,14,17,10,9,14,17,13,11,8,11,1,4,8,12,"Thursday","March",12.33
2018-03-02,"松山","PM2.5",10,4,4,2,4,6,9,4,6,8,14,16,23,32,37,40,36,37,40,52,54,58,42,43,"Friday","March",24.21
2018-03-03,"松山","PM2.5",43,63,57,59,54,61,63,66,84,84,84,68,64,57,53,53,50,48,41,42,42,39,37,38,"Saturday","March",56.25
2018-03-04,"松山","PM2.5",38,36,29,30,29,29,22,20,21,23,35,43,52,55,58,52,45,37,42,38,49,45,46,35,"Sunday","March",37.88
2018-03-05,"松山","PM2.5",42,39,36,33,35,37,26,19,18,26,37,38,33,17,14,19,22,18,10,7,11,9,7,4,"Monday","March",23.21
2018-03-06,"松山","PM2.5",6,9,11,8,10,7,15,12,10,8,9,13,8,10,8,10,5,1,2,9,10,7,3,5,"Tuesday","March",8.17
2018-03-07,"松山","PM2.5",7,7,9,12,8,12,7,14,12,12,13,9,13,9,4,5,9,18,18,14,13,12,14,12,"Wednesday","March",10.96
2018-03-08,"松山","PM2.5",9,6,1,3,6,5,6,9,16,10,6,1,2,5,6,9,7,9,4,9,9,17,15,18,"Thursday","March",7.83
2018-03-10,"松山","PM2.5",12,15,16,18,15,13,17,21,14,13,8,10,6,9,1,6,10,11,2,4,5,14,15,14,"Saturday","March",11.21
2018-03-11,"松山","PM2.5",9,1,9,6,10,7,7,4,5,3,8,2,6,1,5,7,11,5,4,3,10,10,13,10,"Sunday","March",6.5
2018-03-12,"松山","PM2.5",7,9,5,11,1,5,6,8,10,11,17,10,7,4,10,17,20,21,12,9,7,10,9,16,"Monday","March",10.08
2018-03-13,"松山","PM2.5",16,12,7,8,10,5,2,3,11,13,17,16,19,17,21,31,32,32,26,25,19,20,21,24,"Tuesday","March",16.96
2018-03-14,"松山","PM2.5",17,19,14,15,12,14,19,17,22,21,26,22,22,20,22,23,23,17,15,9,12,9,18,12,"Wednesday","March",17.5
2018-03-15,"松山","PM2.5",10,2,5,2,5,6,16,14,20,22,22,18,19,26,40,42,39,25,28,27,25,18,20,25,"Thursday","March",19.83
2018-03-16,"松山","PM2.5",27,24,20,13,12,10,13,15,17,18,17,25,28,28,22,15,20,13,19,16,18,10,8,7,"Friday","March",17.29
2018-03-17,"松山","PM2.5",13,13,15,11,7,3,9,12,12,5,4,11,10,6,7,16,18,17,11,18,16,24,15,16,"Saturday","March",12.04
2018-03-18,"松山","PM2.5",7,14,15,13,11,10,9,7,7,9,14,15,20,22,20,17,19,24,25,25,21,29,19,24,"Sunday","March",16.5
2018-03-19,"松山","PM2.5",17,24,18,15,11,12,10,11,16,26,713,18,16,15,25,32,20,58,58,58,69,32,32,30,"Monday","March",55.67
2018-03-20,"松山","PM2.5",32,23,22,18,19,20,17,17,28,30,27,12,2,2,1,1,1,17,22,26,4,1,4,4,"Tuesday","March",14.58
2018-03-21,"松山","PM2.5",4,4,4,37,32,41,7,8,6,7,7,729,1,77,52,62,12,17,11,11,12,12,10,4,"Wednesday","March",48.62
2018-03-22,"松山","PM2.5",6,8,7,2,1,5,7,12,16,18,25,9,1,7,7,64,64,64,13,7,19,23,29,29,"Thursday","March",18.46
2018-03-23,"松山","PM2.5",17,17,8,18,7,23,13,16,9,13,11,14,12,16,11,19,17,20,14,19,17,17,22,17,"Friday","March",15.29
2018-03-24,"松山","PM2.5",22,15,23,17,18,13,18,24,26,28,28,23,24,18,22,20,15,17,15,24,25,28,28,24,"Saturday","March",21.46
2018-03-25,"松山","PM2.5",24,22,27,28,27,26,22,29,24,23,15,20,16,13,7,13,21,18,14,9,11,14,8,8,"Sunday","March",18.29
2018-03-26,"松山","PM2.5",7,13,14,10,13,13,13,10,14,21,22,25,36,45,45,28,19,17,26,32,36,29,15,17,"Monday","March",21.67
2018-03-27,"松山","PM2.5",17,22,15,14,13,15,15,17,17,19,19,17,18,25,21,22,17,21,25,30,29,23,20,22,"Tuesday","March",19.71
2018-03-28,"松山","PM2.5",22,17,12,11,11,14,16,20,20,17,11,13,8,15,10,23,20,22,16,24,20,17,4,5,"Wednesday","March",15.33
2018-03-29,"松山","PM2.5",8,12,12,17,16,19,11,8,7,11,12,13,12,7,11,9,14,6,12,18,16,15,7,12,"Thursday","March",11.88
2018-03-30,"松山","PM2.5",4,1,7,6,6,1,4,8,5,8,13,17,16,12,11,13,15,10,9,11,17,12,16,11,"Friday","March",9.71
2018-03-31,"松山","PM2.5",17,15,13,15,14,16,15,16,16,17,21,21,23,25,25,25,17,21,18,26,26,27,22,22,"Saturday","March",19.71
2018-04-01,"松山","PM2.5",18,17,19,22,24,21,29,37,39,28,19,17,26,26,31,26,24,18,19,16,21,19,23,17,"Sunday","April",23.17
2018-04-02,"松山","PM2.5",20,24,20,23,19,23,23,28,31,33,26,32,32,45,721,122,115,105,25,25,23,19,25,21,"Monday","April",65.83
2018-04-03,"松山","PM2.5",24,17,18,17,16,6,9,17,25,26,20,21,25,41,50,48,41,32,23,19,18,24,20,18,"Tuesday","April",23.96
2018-04-04,"松山","PM2.5",17,17,13,8,6,13,15,20,13,19,17,26,25,32,35,35,27,20,21,31,29,29,19,18,"Wednesday","April",21.04
2018-04-05,"松山","PM2.5",9,11,7,7,11,15,22,18,17,16,18,26,33,36,36,29,30,24,31,27,29,31,30,28,"Thursday","April",22.54
2018-04-06,"松山","PM2.5",26,25,23,19,21,24,22,28,32,32,20,9,4,1,3,3,5,3,11,18,28,33,33,30,"Friday","April",18.88
2018-04-07,"松山","PM2.5",26,32,36,33,32,32,33,28,27,32,37,34,32,31,29,28,25,17,16,16,20,21,22,22,"Saturday","April",27.54
