"Date","測站","測項","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","WeekDay","Month","meansValue"
2018-02-13,"萬華","PM2.5",18,20,20,19,21,23,16,15,20,27,23,16,9,12,13,18,21,26,25,27,16,20,14,17,"Tuesday","February",19
2018-02-14,"萬華","PM2.5",20,15,12,9,15,16,8,8,10,20,15,16,16,25,29,26,29,31,40,33,26,19,25,33,"Wednesday","February",20.67
2018-02-15,"萬華","PM2.5",32,31,33,34,27,23,17,17,16,28,31,36,26,25,18,27,24,23,26,29,35,31,43,43,"Thursday","February",28.12
2018-02-16,"萬華","PM2.5",40,37,34,33,34,32,34,27,31,37,35,43,33,39,29,34,33,43,39,44,38,38,32,24,"Friday","February",35.12
2018-02-17,"萬華","PM2.5",17,14,11,18,15,10,13,14,16,15,13,11,15,13,17,15,15,19,10,17,12,14,17,17,"Saturday","February",14.5
2018-02-18,"萬華","PM2.5",20,12,18,14,11,6,6,17,24,30,26,24,23,22,25,33,33,33,31,43,48,41,43,28,"Sunday","February",25.46
2018-02-19,"萬華","PM2.5",21,7,4,8,6,12,11,5,2,6,33,48,55,41,719,42,33,32,25,22,29,38,48,43,"Monday","February",53.75
2018-02-20,"萬華","PM2.5",37,35,43,43,46,32,23,21,23,20,14,9,14,18,23,26,22,19,14,22,22,21,20,12,"Tuesday","February",24.12
2018-02-21,"萬華","PM2.5",18,22,26,20,6,4,3,7,9,8,6,4,14,11,17,11,11,7,3,10,6,2,1,8,"Wednesday","February",9.75
2018-02-22,"萬華","PM2.5",12,11,3,1,4,4,7,3,5,8,8,8,2,4,5,13,14,15,10,7,4,4,9,9,"Thursday","February",7.08
2018-02-23,"萬華","PM2.5",14,7,16,17,19,18,22,22,28,27,35,26,25,18,18,20,18,20,15,21,22,27,24,23,"Friday","February",20.92
2018-02-24,"萬華","PM2.5",20,22,17,12,12,17,27,22,27,22,23,27,32,41,45,44,42,33,29,42,45,47,43,42,"Saturday","February",30.54
2018-02-25,"萬華","PM2.5",47,33,37,23,29,23,36,35,32,18,12,10,11,9,7,10,10,14,8,12,8,13,10,5,"Sunday","February",18.83
2018-02-26,"萬華","PM2.5",1,5,5,8,4,7,5,9,13,16,16,14,16,15,19,17,22,19,21,17,20,18,17,15,"Monday","February",13.29
2018-02-27,"萬華","PM2.5",13,11,10,5,8,5,9,9,10,10,12,18,20,27,28,35,26,44,43,49,37,40,44,51,"Tuesday","February",23.5
2018-02-28,"萬華","PM2.5",51,45,46,46,46,33,30,35,39,42,43,47,49,41,35,30,26,23,27,27,28,19,22,21,"Wednesday","February",35.46
2018-03-01,"萬華","PM2.5",14,9,4,11,5,10,7,13,8,12,13,17,13,12,6,12,13,16,9,5,2,1,1,1,"Thursday","March",8.92
2018-03-02,"萬華","PM2.5",2,5,3,4,3,4,3,3,5,16,22,34,39,48,47,50,50,58,60,72,67,67,65,76,"Friday","March",33.46
2018-03-03,"萬華","PM2.5",75,65,57,56,63,62,63,63,67,73,76,74,74,70,62,57,45,46,38,46,45,42,36,38,"Saturday","March",58.04
2018-03-04,"萬華","PM2.5",34,33,32,31,32,29,33,38,43,45,43,39,42,42,49,55,49,43,34,36,40,38,42,41,"Sunday","March",39.29
2018-03-05,"萬華","PM2.5",38,34,34,41,38,24,13,7,20,37,740,33,26,9,15,14,19,20,15,10,8,10,5,1,"Monday","March",50.46
2018-03-06,"萬華","PM2.5",6,6,15,5,10,6,12,12,12,11,739,8,10,4,13,5,14,5,8,6,7,10,8,10,"Tuesday","March",39.25
2018-03-07,"萬華","PM2.5",11,6,7,3,6,2,5,4,6,6,10,16,14,6,7,7,17,14,11,12,12,13,10,15,"Wednesday","March",9.17
2018-03-08,"萬華","PM2.5",15,9,1,2,3,1,1,1,8,5,7,2,4,1,4,2,8,4,8,9,12,14,18,27,"Thursday","March",6.92
2018-03-09,"萬華","PM2.5",23,23,21,24,25,22,32,32,45,47,49,42,39,32,29,25,24,23,23,29,29,28,17,11,"Friday","March",28.92
2018-03-10,"萬華","PM2.5",9,12,14,6,8,5,9,15,17,12,10,8,11,8,12,17,16,17,11,14,8,11,18,21,"Saturday","March",12.04
2018-03-11,"萬華","PM2.5",14,5,5,11,10,15,11,11,8,11,14,9,5,4,5,9,10,8,8,11,10,10,9,17,"Sunday","March",9.58
2018-03-12,"萬華","PM2.5",14,12,8,14,7,7,1,9,5,10,9,17,14,17,10,22,14,23,22,29,34,25,25,14,"Monday","March",15.08
2018-03-13,"萬華","PM2.5",14,12,19,24,21,9,6,5,20,26,38,32,35,23,27,22,27,27,24,30,32,43,43,35,"Tuesday","March",24.75
2018-03-14,"萬華","PM2.5",26,10,10,2,14,10,18,7,12,16,32,30,28,22,23,30,26,24,21,24,31,19,13,4,"Wednesday","March",18.83
2018-03-15,"萬華","PM2.5",11,12,16,9,10,8,20,18,35,32,48,37,40,35,38,35,27,18,17,17,26,18,25,19,"Thursday","March",23.79
2018-03-16,"萬華","PM2.5",21,13,11,17,18,12,3,5,13,24,26,17,13,16,27,25,12,11,15,18,13,10,9,8,"Friday","March",14.88
2018-03-17,"萬華","PM2.5",7,9,9,12,7,5,4,7,4,1,2,14,14,18,6,18,14,19,16,14,18,22,25,22,"Saturday","March",11.96
2018-03-18,"萬華","PM2.5",14,12,6,9,10,13,11,8,14,15,14,14,23,21,24,19,34,32,31,28,30,34,39,40,"Sunday","March",20.62
2018-03-19,"萬華","PM2.5",36,29,21,26,36,31,29,15,21,22,21,19,23,25,33,785,16,22,31,43,39,25,19,22,"Monday","March",57.88
2018-03-20,"萬華","PM2.5",20,23,23,19,15,14,12,17,11,14,9,9,3,2,1,4,8,11,11,7,7,9,7,8,"Tuesday","March",11
2018-03-21,"萬華","PM2.5",9,12,9,9,2,9,9,13,14,10,11,5,5,1,1,1,4,8,7,12,10,12,5,1,"Wednesday","March",7.46
2018-03-22,"萬華","PM2.5",1,1,1,1,1,7,6,12,11,18,18,16,15,15,11,4,7,10,12,12,14,23,20,19,"Thursday","March",10.62
2018-03-23,"萬華","PM2.5",11,12,9,9,5,11,7,6,10,20,24,19,15,18,18,23,20,25,24,24,19,15,14,20,"Friday","March",15.75
2018-03-24,"萬華","PM2.5",18,22,20,28,27,26,21,21,26,24,26,24,22,22,17,28,27,30,20,21,23,30,39,36,"Saturday","March",24.92
2018-03-25,"萬華","PM2.5",29,20,20,39,35,29,12,15,18,22,18,20,16,14,8,10,16,17,9,17,12,20,11,16,"Sunday","March",18.46
2018-03-26,"萬華","PM2.5",10,13,13,20,10,12,5,9,11,13,27,34,42,35,34,29,28,21,18,27,28,33,26,21,"Monday","March",21.62
2018-03-27,"萬華","PM2.5",10,5,11,16,17,12,15,16,18,22,20,29,29,32,25,19,17,18,26,27,26,17,13,14,"Tuesday","March",18.92
2018-03-28,"萬華","PM2.5",9,14,11,17,10,11,7,8,12,10,23,18,24,14,22,12,17,21,31,25,17,8,5,1,"Wednesday","March",14.46
2018-03-29,"萬華","PM2.5",1,1,8,6,10,6,12,7,9,9,13,9,6,2,5,5,9,8,13,15,13,9,6,7,"Thursday","March",7.88
2018-03-30,"萬華","PM2.5",9,12,12,11,7,12,12,12,7,12,13,14,13,11,758,10,9,12,14,14,12,10,3,8,"Friday","March",41.96
2018-03-31,"萬華","PM2.5",6,12,14,16,13,12,13,15,15,11,12,12,15,19,22,27,28,29,30,28,33,25,24,21,"Saturday","March",18.83
