"Date","測站","測項","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","WeekDay","Month","meansValue"
2018-02-15,"士林","PM2.5",12,8,14,23,21,22,16,25,18,39,29,30,4,18,14,21,11,26,30,32,39,47,56,44,"Thursday","February",24.96
2018-02-16,"士林","PM2.5",31,28,28,42,40,39,36,30,43,56,56,47,20,34,27,34,29,33,58,46,53,33,44,31,"Friday","February",38.25
2018-02-17,"士林","PM2.5",19,17,10,11,7,10,20,12,19,15,13,9,1,15,10,11,6,14,25,21,21,10,6,10,"Saturday","February",13
2018-02-18,"士林","PM2.5",9,21,9,14,3,13,8,9,9,15,21,22,37,26,32,14,29,27,40,47,49,52,41,48,"Sunday","February",24.79
2018-02-19,"士林","PM2.5",52,54,57,53,46,27,10,19,18,28,15,23,10,19,19,27,31,20,22,22,28,42,52,52,"Monday","February",31.08
2018-02-20,"士林","PM2.5",41,33,31,31,35,31,24,9,14,8,9,9,10,10,10,15,11,18,15,16,16,16,18,7,"Tuesday","February",18.21
2018-02-21,"士林","PM2.5",13,12,13,10,11,17,16,12,4,1,1,8,13,11,6,1,6,1,1,5,5,13,1,1,"Wednesday","February",7.58
2018-02-23,"士林","PM2.5",8,4,9,7,11,11,14,14,14,14,696,2,2,2,22,22,29,24,26,28,25,26,18,14,"Friday","February",43.42
2018-02-24,"士林","PM2.5",13,14,9,14,22,24,20,28,29,35,24,33,42,53,51,47,47,45,42,36,46,45,50,45,"Saturday","February",33.92
2018-02-25,"士林","PM2.5",35,29,22,27,20,22,23,18,21,16,24,12,9,2,7,4,11,6,7,6,6,7,3,8,"Sunday","February",14.38
2018-02-27,"士林","PM2.5",17,11,16,11,15,14,11,2,8,14,32,22,34,24,36,33,35,33,30,34,32,44,47,48,"Tuesday","February",25.12
2018-02-28,"士林","PM2.5",43,39,46,47,46,41,36,29,33,23,30,41,58,53,31,23,20,22,14,11,11,17,15,21,"Wednesday","February",31.25
2018-03-01,"士林","PM2.5",13,19,15,20,18,7,5,6,13,11,5,1,9,9,25,13,17,1,13,19,20,11,5,3,"Thursday","March",11.58
2018-03-02,"士林","PM2.5",3,1,6,1,1,1,1,1,1,1,11,17,41,43,56,43,47,51,51,67,84,109,106,90,"Friday","March",34.71
2018-03-03,"士林","PM2.5",67,64,68,64,63,55,68,62,71,51,61,46,62,63,66,66,50,57,47,52,47,54,41,43,"Saturday","March",57.83
2018-03-04,"士林","PM2.5",36,47,32,33,25,26,27,16,35,25,31,34,47,58,44,41,32,28,23,25,26,32,33,34,"Sunday","March",32.92
2018-03-05,"士林","PM2.5",33,35,36,36,42,40,36,34,34,53,53,56,36,28,20,23,36,28,26,12,12,10,4,6,"Monday","March",30.38
2018-03-06,"士林","PM2.5",3,2,11,6,12,3,11,5,9,7,7,8,3,3,1,1,8,6,11,7,8,10,6,8,"Tuesday","March",6.5
2018-03-07,"士林","PM2.5",3,3,5,1,1,1,7,15,13,19,22,21,17,14,17,10,1,12,8,14,9,13,7,7,"Wednesday","March",10
2018-03-08,"士林","PM2.5",3,7,1,8,7,7,5,7,10,3,1,1,2,5,11,3,1,3,8,10,10,13,23,23,"Thursday","March",7.17
2018-03-09,"士林","PM2.5",30,36,37,38,38,39,47,57,61,55,736,47,43,40,19,25,18,27,24,20,16,14,10,11,"Friday","March",62
2018-03-10,"士林","PM2.5",9,12,13,8,6,4,8,13,11,11,6,6,9,7,13,3,8,2,11,6,10,3,8,10,"Saturday","March",8.21
2018-03-11,"士林","PM2.5",9,16,13,12,7,1,6,9,16,18,7,1,2,8,17,10,8,8,11,11,5,5,7,4,"Sunday","March",8.79
2018-03-12,"士林","PM2.5",5,3,20,16,18,1,4,4,18,15,17,2,8,12,27,27,28,21,24,21,21,16,11,14,"Monday","March",14.71
2018-03-13,"士林","PM2.5",13,9,1,1,4,8,10,11,17,13,21,9,30,22,29,16,23,20,25,27,33,27,29,25,"Tuesday","March",17.62
2018-03-14,"士林","PM2.5",24,15,25,25,29,33,26,23,14,22,29,31,34,27,31,30,34,33,36,38,24,18,6,22,"Wednesday","March",26.21
2018-03-15,"士林","PM2.5",14,18,8,8,9,10,18,11,15,22,34,35,34,34,37,42,34,36,24,28,23,22,20,16,"Thursday","March",23
2018-03-16,"士林","PM2.5",22,22,19,17,21,20,20,13,13,13,16,28,30,22,16,14,16,9,9,8,8,3,7,4,"Friday","March",15.42
2018-03-17,"士林","PM2.5",1,2,8,12,8,7,8,9,5,1,2,7,11,7,1,1,6,14,14,18,13,18,12,13,"Saturday","March",8.25
2018-03-18,"士林","PM2.5",4,4,17,14,14,2,11,15,29,25,34,30,29,28,17,20,18,24,27,24,23,25,30,37,"Sunday","March",20.88
2018-03-19,"士林","PM2.5",31,31,21,25,25,26,23,27,35,37,34,28,40,23,24,20,32,32,33,37,44,38,24,22,"Monday","March",29.67
2018-03-20,"士林","PM2.5",15,21,16,24,17,17,9,15,16,24,18,12,1,9,12,11,5,1,1,6,6,10,5,7,"Tuesday","March",11.58
2018-03-21,"士林","PM2.5",6,1,1,4,4,7,6,6,3,1,725,1,2,6,7,6,1,2,1,5,6,9,7,10,"Wednesday","March",34.46
2018-03-22,"士林","PM2.5",6,11,5,8,3,7,14,18,18,9,2,4,11,19,17,19,19,18,22,19,20,10,15,14,"Thursday","March",12.83
2018-03-23,"士林","PM2.5",15,12,19,23,19,14,13,21,20,31,19,33,27,28,15,6,13,19,30,27,19,16,15,20,"Friday","March",19.75
2018-03-24,"士林","PM2.5",17,23,31,33,39,23,20,10,26,27,30,29,40,30,32,26,32,30,31,34,31,34,33,31,"Saturday","March",28.83
2018-03-25,"士林","PM2.5",22,24,28,23,25,21,29,32,24,13,1,17,27,23,10,15,15,18,14,14,11,1,3,3,"Sunday","March",17.21
2018-03-26,"士林","PM2.5",7,7,11,11,17,17,11,6,6,12,30,29,36,28,29,29,22,16,15,20,30,36,29,28,"Monday","March",20.08
2018-03-27,"士林","PM2.5",14,16,24,24,30,28,34,29,24,25,26,29,17,22,12,13,14,11,17,14,22,36,33,33,"Tuesday","March",22.79
2018-03-28,"士林","PM2.5",27,25,23,23,19,21,15,24,18,19,17,17,26,16,31,22,31,14,5,6,6,6,11,10,"Wednesday","March",18
2018-03-29,"士林","PM2.5",12,9,11,22,9,9,1,8,11,24,17,16,12,30,39,38,21,17,14,16,16,17,18,11,"Thursday","March",16.58
2018-03-30,"士林","PM2.5",2,2,3,2,10,6,9,4,3,5,5,9,13,9,17,9,21,11,15,7,9,1,4,5,"Friday","March",7.54
2018-03-31,"士林","PM2.5",17,16,13,9,11,12,6,10,8,12,17,18,33,16,28,6,22,14,21,16,21,27,23,25,"Saturday","March",16.71
2018-04-01,"士林","PM2.5",21,15,14,13,23,23,29,25,33,34,35,28,34,27,31,23,28,24,30,37,25,10,3,14,"Sunday","April",24.12
2018-04-02,"士林","PM2.5",17,23,22,21,14,10,16,19,26,22,31,42,54,60,51,57,50,57,57,49,39,33,31,26,"Monday","April",34.46
2018-04-03,"士林","PM2.5",17,17,17,13,13,14,19,25,25,34,702,23,31,28,45,40,46,33,41,31,36,27,15,13,"Tuesday","April",54.38
2018-04-04,"士林","PM2.5",10,12,10,11,13,11,15,20,22,31,42,45,44,37,42,30,39,35,39,31,31,32,33,29,"Wednesday","April",27.67
2018-04-05,"士林","PM2.5",34,29,24,17,8,15,11,16,9,15,21,30,31,31,25,20,23,28,31,27,28,30,25,27,"Thursday","April",23.12
2018-04-06,"士林","PM2.5",22,25,23,27,25,26,26,32,28,33,28,19,1,1,1,8,5,14,5,18,25,38,36,33,"Friday","April",20.79
2018-04-07,"士林","PM2.5",26,34,31,39,32,41,39,44,32,36,45,45,41,22,31,26,28,23,26,28,30,23,23,19,"Saturday","April",31.83
2018-04-08,"士林","PM2.5",23,26,24,21,11,20,18,19,15,13,14,11,16,20,14,14,6,14,17,22,18,14,9,10,"Sunday","April",16.21
2018-04-09,"士林","PM2.5",7,11,9,11,12,7,8,3,15,12,15,20,16,13,4,5,16,12,17,22,23,16,1,6,"Monday","April",11.71
2018-04-10,"士林","PM2.5",10,16,10,14,12,17,14,10,24,23,25,9,29,29,39,32,19,17,31,27,19,18,16,17,"Tuesday","April",19.88
2018-04-11,"士林","PM2.5",15,15,25,18,17,16,22,25,24,31,48,61,47,49,39,41,26,34,28,33,23,25,19,32,"Wednesday","April",29.71
2018-04-12,"士林","PM2.5",33,33,21,19,26,28,27,25,27,44,33,24,8,5,10,19,22,18,16,26,31,22,12,5,"Thursday","April",22.25
2018-04-13,"士林","PM2.5",1,7,3,14,6,9,5,12,32,31,48,51,53,42,38,40,39,38,33,41,38,37,26,17,"Friday","April",27.54
2018-04-14,"士林","PM2.5",23,11,2,1,6,6,13,24,31,31,30,36,27,31,32,31,14,14,14,24,22,20,15,16,"Saturday","April",19.75
